T_1s,subj_id,T_0s,X_i,e_si,TSITau,beta_0,beta_1,n_subj,n_cycles,tau_1,rho,sigma,gammashape,gammascale,rep
-5.339978233132574,18,11.44087280212549,0,0.05923891961566907,36.85011172174116,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-5.339978233132574,18,11.44087280212549,1,0.22594139620706147,32.66683596519998,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-5.339978233132574,18,11.44087280212549,2,0.09982277871353279,28.190739114573876,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-5.339978233132574,18,11.44087280212549,3,0.0556980022096985,23.79663610493747,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-5.339978233132574,18,11.44087280212549,4,-0.03754242446367487,19.353417445131523,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-5.339978233132574,18,11.44087280212549,5,0.010100545915045117,15.051082182377666,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-5.339978233132574,18,11.44087280212549,6,-0.04559225473014205,10.645411148599909,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-5.339978233132574,18,11.44087280212549,7,-0.00920692411507478,6.331818246082401,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-5.339978233132574,18,11.44087280212549,8,-0.15287368493378567,1.8381732521311154,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-5.339978233132574,18,11.44087280212549,9,-0.04064680018255165,-2.399578096250225,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,0,-0.09517460057786453,91.44640684210971,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,1,0.11733307055360986,88.19708942560872,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,2,0.10491103905060897,84.72284230647325,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,3,-0.009025690195601585,81.14708048959459,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,4,0.14974338234312498,77.84402447450084,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,5,0.10117272405136851,74.33362872857663,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,6,0.01532061017172752,70.78595152706453,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,7,0.072485596719911,67.38129142598025,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,8,-0.14430382309428288,63.702676918533584,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
-4.451825087632463,8,66.19158144268758,9,-0.30556113520555117,60.079594518789854,25.35,0.99,20,10,2.55,0.2,0.1,1.57,12.5,1
