T_1s,subj_id,T_0s,X_i,e_si,TSITau,beta_0,beta_1,n_subj,n_cycles,tau_1,rho,sigma,gammashape,gammascale,rep
-0.2094109111032382,18,11.44087280212549,0,3.281836146708067,40.07270894883356,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.2094109111032382,18,11.44087280212549,1,12.517153349871204,50.08861524089346,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.2094109111032382,18,11.44087280212549,2,5.530181940729716,43.88223292064873,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.2094109111032382,18,11.44087280212549,3,3.0856693224172966,42.21830939123307,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.2094109111032382,18,11.44087280212549,4,-2.0798503152875876,37.83337884242495,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.2094109111032382,18,11.44087280212549,5,0.5595702436934994,41.253388490302804,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.2094109111032382,18,11.44087280212549,6,-2.5258109120498693,38.948596423456195,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.2094109111032382,18,11.44087280212549,7,-0.5100635959751428,41.744932828427686,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.2094109111032382,18,11.44087280212549,8,-8.469202145331726,34.56638336796786,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.2094109111032382,18,11.44087280212549,9,-2.2518327301133616,41.564341872082984,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,0,-5.272672872013695,86.26890857067387,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,1,6.5002521086699865,98.85725217537197,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,2,5.8120715634037365,98.98449025412013,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,3,-0.5000232368363278,93.48781407789448,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,4,8.295783381809123,103.09903932055434,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,5,5.604968912445815,101.22364347520545,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,6,0.8487618035137046,97.28285499028776,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,7,4.01570205828307,101.26521386907153,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,8,-7.994431799423272,90.07049863537961,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.17458137598558685,8,66.19158144268758,9,-16.928086890387537,81.95226216842975,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,0,9.638921233477141,35.28286804888488,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,1,-8.718027900495521,17.812392102619008,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,2,-1.5645002978177864,25.85239289300353,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,3,5.024031540416995,33.3273979189451,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,4,-0.6349423154750843,28.55489725075981,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,5,1.369362621655946,31.44567537559763,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,6,-7.330269473219222,23.632516468429255,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,7,-9.196592484321236,22.652666645034028,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,8,-2.5490507128092545,30.186681604252797,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10352681229321051,5,0.29394681540773604,9,-5.014792063052072,28.607413441716773,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,0,-2.7945234460689306,19.510616400398312,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,1,0.6009178941604507,23.793591344138473,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,2,-14.126028805134059,9.95417824835475,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,3,0.9090170991197137,25.87675775611931,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,4,-0.5340492723123687,25.321224988198008,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,5,-1.840780370855483,24.902027493165676,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,6,4.740940290397255,32.3712817579292,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,7,0.7283608379299572,29.24623590897269,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,8,-5.458889757264955,23.946518917288557,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.10246639648921613,15,-3.0448601535327597,9,8.567874434749392,38.86081671281369,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
-0.07322349688369689,7,-5.955730633180288,0,8.177904371930952,27.572173738750664,25.35,0.99,20,10,0.1,0.2,5.54,1.57,12.5,1
